+====================+====================+==================================================================+
| Launch Setup Clock | Launch Hold Clock  | Pin                                                              |
+====================+====================+==================================================================+
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking2_ROM/data_Out_reg/ADDRARDADDR[6]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking3_ROM/data_Out_reg/ADDRARDADDR[6]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching1_ROM/data_Out_reg/ADDRARDADDR[6]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Jumping_ROM/data_Out_reg/ADDRARDADDR[6]     |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching2_ROM/data_Out_reg/ADDRARDADDR[6]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Stationary_ROM/data_Out_reg/ADDRARDADDR[6]  |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking1_ROM/data_Out_reg/ADDRARDADDR[6]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking3_ROM/data_Out_reg/ADDRARDADDR[10]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking2_ROM/data_Out_reg/ADDRARDADDR[10]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Jumping_ROM/data_Out_reg/ADDRARDADDR[10]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching1_ROM/data_Out_reg/ADDRARDADDR[10]  |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching2_ROM/data_Out_reg/ADDRARDADDR[10]  |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Stationary_ROM/data_Out_reg/ADDRARDADDR[10] |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking1_ROM/data_Out_reg/ADDRARDADDR[10]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking3_ROM/data_Out_reg/ADDRARDADDR[9]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking2_ROM/data_Out_reg/ADDRARDADDR[9]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking2_ROM/data_Out_reg/ADDRARDADDR[12]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking3_ROM/data_Out_reg/ADDRARDADDR[12]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Jumping_ROM/data_Out_reg/ADDRARDADDR[9]     |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching1_ROM/data_Out_reg/ADDRARDADDR[9]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking1_ROM/data_Out_reg/ADDRARDADDR[12]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Stationary_ROM/data_Out_reg/ADDRARDADDR[12] |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching1_ROM/data_Out_reg/ADDRARDADDR[12]  |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Jumping_ROM/data_Out_reg/ADDRARDADDR[12]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching2_ROM/data_Out_reg/ADDRARDADDR[9]   |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Punching2_ROM/data_Out_reg/ADDRARDADDR[12]  |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Stationary_ROM/data_Out_reg/ADDRARDADDR[9]  |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking1_ROM/data_Out_reg/ADDRARDADDR[9]    |
| clk_out1_clk_wiz_0 | clk_out1_clk_wiz_0 | color_instance/Mario_Walking2_ROM/data_Out_reg/ADDRARDADDR[11]   |
